"readingDtUtz","valuePsi","celsius","fahrenheit"
"2021-08-24T10:11:19",1104,24.96,76.928
"2021-08-24T10:12:52",1008,24.96,76.928
"2021-08-24T10:14:19",1096,24.96,76.928
"2021-08-24T10:20:15",968,24.96,76.928
"2021-08-24T10:41:45",1168,24.96,76.928
"2021-08-24T10:42:22",896,24.96,76.928
"2021-08-25T12:04:09",1080,22.7,72.86
"2021-08-26T08:55:56",1248,22.56,72.608
"2021-08-26T12:21:15",1272,22.56,72.608
"2021-08-27T06:03:21",1488,24.84,76.712
"2021-08-27T06:29:26",1520,24.84,76.712
"2021-08-27T07:01:19",1544,24.84,76.712
"2021-08-27T08:28:35",1648,23.41,74.138
"2021-08-27T08:52:24",1568,23.41,74.138
"2021-08-27T12:15:52",1576,23.41,74.138
"2021-08-28T12:26:40",1592,25.6,78.08000000000001
"2021-08-28T14:21:38",1592,37.02,98.63600000000001
"2021-08-28T15:52:59",1600,37.02,98.63600000000001
"2021-08-28T15:57:46",1600,37.02,98.63600000000001
"2021-08-28T18:15:29",1592,37.02,98.63600000000001
"2021-08-28T18:16:10",1568,37.02,98.63600000000001
"2021-08-28T18:16:41",1576,37.02,98.63600000000001
"2021-08-28T18:17:16",1544,37.02,98.63600000000001
"2021-08-29T08:17:04",1672,25.65,78.17
"2021-08-29T12:38:31",1680,25.65,78.17
"2021-08-29T14:13:34",1680,34.57,94.226
"2021-08-30T09:44:20",1688,19.2,66.56
"2021-08-30T10:24:07",1648,19.2,66.56
"2021-08-30T10:30:29",1632,19.2,66.56
"2021-08-30T10:31:14",1664,19.2,66.56
"2021-08-30T10:32:02",1688,19.2,66.56
"2021-08-30T10:32:34",1688,19.2,66.56
"2021-08-30T12:03:26",1696,19.2,66.56
"2021-08-30T12:10:03",1696,19.2,66.56
"2021-08-30T14:12:10",1696,27.2,80.96000000000001
"2021-08-30T14:12:42",1696,27.2,80.96000000000001
"2021-08-30T14:48:39",1696,27.2,80.96000000000001
"2021-08-30T16:19:22",1696,27.2,80.96000000000001
"2021-08-31T11:04:13",1688,19.22,66.596
"2021-08-31T11:05:15",1696,19.22,66.596
"2021-08-31T11:05:49",1696,19.22,66.596
"2021-08-31T11:06:25",1696,19.22,66.596
"2021-08-31T20:20:49",1688,24.08,75.344
"2021-08-31T20:23:19",1696,24.08,75.344
"2021-09-01T10:03:42",1680,20.83,69.494
"2021-09-01T10:04:13",1688,20.83,69.494
"2021-09-01T10:04:48",1688,20.83,69.494
"2021-09-01T10:05:24",1688,20.83,69.494
"2021-09-01T10:05:55",1688,20.83,69.494
"2021-09-01T10:06:32",1688,20.83,69.494
"2021-09-01T12:00:58",1688,20.83,69.494
"2021-09-01T12:39:05",1688,20.83,69.494
"2021-09-01T12:39:36",1688,20.83,69.494
"2021-09-01T12:40:10",1688,20.83,69.494
"2021-09-01T12:40:41",1696,20.83,69.494
"2021-09-01T12:41:14",1696,20.83,69.494
"2021-09-01T12:41:59",1696,20.83,69.494
"2021-09-02T17:28:03",1672,25.98,78.76400000000001
"2021-09-02T17:28:35",1680,25.98,78.76400000000001
"2021-09-02T17:29:23",1680,25.98,78.76400000000001
"2021-09-02T17:30:10",1680,25.98,78.76400000000001
"2021-09-02T17:31:19",1680,25.98,78.76400000000001
"2021-09-02T17:54:47",1688,25.98,78.76400000000001
"2021-09-02T17:56:20",1688,25.98,78.76400000000001
"2021-09-02T17:56:51",1688,25.98,78.76400000000001
"2021-09-02T17:57:26",1688,25.98,78.76400000000001
"2021-09-02T17:57:57",1688,25.98,78.76400000000001
"2021-09-02T17:58:29",1696,25.98,78.76400000000001
"2021-09-02T17:59:15",1696,25.98,78.76400000000001
"2021-09-02T18:00:48",1696,25.98,78.76400000000001
"2021-09-03T10:25:50",1672,17.72,63.896
"2021-09-03T10:26:35",1672,17.72,63.896
"2021-09-03T10:27:11",1680,17.72,63.896
"2021-09-03T10:27:41",1680,17.72,63.896
"2021-09-03T10:28:15",1680,17.72,63.896
"2021-09-03T10:29:16",1680,17.72,63.896
"2021-09-03T10:29:47",1688,17.72,63.896
"2021-09-03T10:30:25",1680,17.72,63.896
"2021-09-03T10:31:22",1688,17.72,63.896
"2021-09-03T10:32:02",1688,17.72,63.896
"2021-09-03T10:32:36",1688,17.72,63.896
"2021-09-03T12:20:58",1688,17.72,63.896
"2021-09-03T12:21:35",1688,17.72,63.896
"2021-09-03T12:22:07",1688,17.72,63.896
"2021-09-03T12:22:44",1688,17.72,63.896
"2021-09-03T20:19:26",1680,22.03,71.654
"2021-09-03T20:20:44",1688,22.03,71.654
"2021-09-04T07:41:31",1672,20.93,69.674
"2021-09-04T11:10:09",1680,19.08,66.344
"2021-09-04T11:10:46",1680,19.08,66.344
"2021-09-04T11:11:38",1688,19.08,66.344
"2021-09-04T11:12:10",1680,19.08,66.344
"2021-09-04T13:18:57",1688,19.08,66.344
"2021-09-04T14:10:46",1688,22.48,72.464
"2021-09-04T14:11:19",1696,22.48,72.464
"2021-09-04T14:42:18",1696,22.48,72.464
"2021-09-04T15:34:42",1696,22.48,72.464
"2021-09-04T17:17:47",1696,22.48,72.464
"2021-09-04T17:19:15",1696,22.48,72.464
"2021-09-05T11:00:17",1680,15.87,60.566
"2021-09-05T11:00:53",1680,15.87,60.566
"2021-09-05T13:33:34",1680,15.87,60.566
"2021-09-05T16:43:55",1680,26.84,80.312
"2021-09-05T16:44:26",1688,26.84,80.312
"2021-09-05T16:44:59",1688,26.84,80.312
"2021-09-05T17:23:38",1688,26.84,80.312
"2021-09-05T20:00:23",1680,25.98,78.76400000000001
"2021-09-06T08:12:01",1680,16.76,62.168000000000006
