readingDtUtz,valuePsi,celsius,fahrenheit
2021-09-07T14:04:08,336,30.42,86.756
2021-09-07T14:24:41,336,30.42,86.756
2021-09-07T14:35:22,328,30.42,86.756
2021-09-07T14:42:59,336,30.42,86.756
2021-09-07T14:44:07,336,30.42,86.756
2021-09-07T14:45:04,312,30.42,86.756
2021-09-07T14:46:28,344,30.42,86.756
2021-09-07T15:04:31,344,30.42,86.756
2021-09-07T16:05:47,344,30.42,86.756
2021-09-07T20:21:12,376,24.4,75.92
2021-09-07T20:36:17,336,24.4,75.92
2021-09-07T22:56:45,344,24.4,75.92
2021-09-08T05:18:39,376,18.84,65.912
2021-09-08T05:20:02,392,18.84,65.912
2021-09-08T05:22:16,400,18.84,65.912
2021-09-08T06:34:00,408,18.84,65.912
2021-09-08T06:40:06,408,18.84,65.912
2021-09-08T08:01:49,408,14.93,58.874
2021-09-08T09:02:40,392,14.93,58.874
2021-09-08T09:41:44,368,14.93,58.874
2021-09-08T09:52:53,368,14.93,58.874
2021-09-08T10:11:33,408,14.93,58.874
2021-09-08T12:20:49,424,14.93,58.874
2021-09-08T12:44:57,424,14.93,58.874
2021-09-08T13:45:23,392,14.93,58.874
2021-09-08T15:07:22,472,25.81,78.458
2021-09-08T15:23:42,384,25.81,78.458
2021-09-08T15:53:19,368,25.81,78.458
2021-09-08T16:12:20,376,25.81,78.458
2021-09-08T16:14:08,368,25.81,78.458
2021-09-08T17:33:10,320,25.81,78.458
2021-09-09T04:59:12,376,17.0,62.6
2021-09-09T05:01:17,376,17.0,62.6
2021-09-09T07:14:25,392,17.0,62.6
2021-09-09T07:28:03,384,17.0,62.6
2021-09-09T09:20:35,408,13.94,57.092
2021-09-09T09:41:49,416,13.94,57.092
2021-09-09T09:42:51,416,13.94,57.092
2021-09-09T09:44:02,408,13.94,57.092
2021-09-09T10:40:49,448,13.94,57.092
2021-09-09T10:58:04,448,13.94,57.092
2021-09-09T12:25:04,464,13.94,57.092
2021-09-09T14:17:22,472,23.06,73.508
2021-09-09T14:20:13,448,23.06,73.508
2021-09-09T14:24:50,424,23.06,73.508
2021-09-09T14:43:23,520,23.06,73.508
2021-09-09T15:03:01,440,23.06,73.508
2021-09-09T16:01:33,536,23.06,73.508
2021-09-09T16:02:59,496,23.06,73.508
2021-09-09T16:57:18,552,23.06,73.508
2021-09-09T20:08:40,536,21.08,69.94399999999999
2021-09-10T04:36:26,680,17.71,63.878
2021-09-10T04:38:17,632,17.71,63.878
2021-09-10T07:35:14,360,17.71,63.878
2021-09-10T07:38:34,352,17.71,63.878
2021-09-10T08:06:26,352,15.68,60.224
2021-09-10T09:31:44,352,15.68,60.224
2021-09-10T12:14:47,352,15.68,60.224
2021-09-10T12:20:43,344,15.68,60.224
2021-09-10T13:20:25,344,15.68,60.224
2021-09-10T14:21:46,336,25.06,77.108
2021-09-10T14:27:27,336,25.06,77.108
2021-09-10T14:42:57,336,25.06,77.108
2021-09-10T15:06:51,336,25.06,77.108
2021-09-10T18:22:54,344,25.06,77.108
2021-09-10T19:35:56,344,25.06,77.108
2021-09-10T20:39:59,352,24.12,75.416
2021-09-13T07:30:03,344,21.19,70.142
2021-09-13T07:32:15,336,21.19,70.142
2021-09-13T07:33:31,328,21.19,70.142
2021-09-13T07:35:17,328,21.19,70.142
2021-09-13T07:42:43,328,21.19,70.142
2021-09-13T09:47:31,344,21.53,70.754
2021-09-13T11:01:54,344,21.53,70.754
2021-09-13T11:08:08,336,21.53,70.754
2021-09-13T11:32:11,336,21.53,70.754
2021-09-13T11:38:53,344,21.53,70.754
2021-09-13T12:12:50,328,21.53,70.754
2021-09-13T12:22:47,328,21.53,70.754
2021-09-13T14:59:09,336,29.32,84.77600000000001
2021-09-13T16:13:58,336,29.32,84.77600000000001
2021-09-13T16:35:05,328,29.32,84.77600000000001
2021-09-13T16:37:55,328,29.32,84.77600000000001
2021-09-13T16:39:34,352,29.32,84.77600000000001
2021-09-13T16:42:09,360,29.32,84.77600000000001
2021-09-13T19:42:31,376,29.32,84.77600000000001
2021-09-13T20:20:17,376,24.66,76.388
2021-09-14T01:11:16,376,24.66,76.388
2021-09-14T04:56:57,400,22.02,71.636
2021-09-14T06:41:08,392,22.02,71.636
2021-09-14T06:42:39,416,22.02,71.636
2021-09-14T07:19:37,384,22.02,71.636
2021-09-14T07:20:51,376,22.02,71.636
2021-09-14T07:57:33,424,22.02,71.636
2021-09-14T09:21:05,408,23.51,74.31800000000001
2021-09-14T12:19:44,440,23.51,74.31800000000001
2021-09-14T12:49:27,488,23.51,74.31800000000001
2021-09-14T14:16:58,416,29.84,85.712
2021-09-14T14:26:14,408,29.84,85.712
2021-09-14T15:39:58,448,29.84,85.712
2021-09-14T15:44:23,392,29.84,85.712
2021-09-14T16:03:31,376,29.84,85.712
2021-09-14T16:23:52,440,29.84,85.712
2021-09-14T19:37:50,416,29.84,85.712
2021-09-14T20:37:15,464,22.02,71.636
2021-09-15T05:10:36,448,18.89,66.00200000000001
2021-09-15T05:12:13,376,18.89,66.00200000000001
2021-09-15T06:21:25,352,18.89,66.00200000000001
2021-09-15T06:22:59,368,18.89,66.00200000000001
2021-09-15T06:27:09,384,18.89,66.00200000000001
2021-09-15T06:50:04,376,18.89,66.00200000000001
2021-09-15T07:23:30,384,18.89,66.00200000000001
2021-09-15T07:43:11,376,18.89,66.00200000000001
2021-09-15T09:15:39,408,14.85,58.73
2021-09-15T10:46:16,416,14.85,58.73
2021-09-15T13:05:37,472,14.85,58.73
2021-09-15T13:06:39,440,14.85,58.73
2021-09-15T13:08:21,480,14.85,58.73
2021-09-15T13:09:49,440,14.85,58.73
2021-09-15T14:38:26,512,23.16,73.688
2021-09-15T15:24:10,496,23.16,73.688
2021-09-15T15:55:31,504,23.16,73.688
2021-09-15T16:35:41,480,23.16,73.688
2021-09-15T19:05:09,528,23.16,73.688
2021-09-15T19:07:04,584,23.16,73.688
2021-09-15T20:24:53,560,21.07,69.926
2021-09-15T20:25:55,552,21.07,69.926
2021-09-16T05:09:26,632,15.66,60.188
2021-09-16T07:00:06,608,22.67,72.80600000000001
2021-09-16T07:01:38,616,22.67,72.80600000000001
2021-09-16T07:02:51,584,22.67,72.80600000000001
2021-09-16T08:51:40,592,19.93,67.874
2021-09-16T08:53:26,592,19.93,67.874
2021-09-16T09:08:45,600,19.93,67.874
2021-09-16T09:19:36,624,19.93,67.874
2021-09-16T10:41:24,616,19.93,67.874
2021-09-16T12:47:27,616,19.93,67.874
2021-09-16T12:48:37,600,19.93,67.874
2021-09-16T15:14:42,616,20.49,68.882
2021-09-16T15:58:15,624,20.49,68.882
2021-09-16T16:35:07,608,20.49,68.882
2021-09-16T16:37:32,648,20.49,68.882
2021-09-16T16:41:28,608,20.49,68.882
2021-09-16T16:42:35,592,20.49,68.882
2021-09-16T16:44:39,576,20.49,68.882
2021-09-16T16:45:48,496,20.49,68.882
2021-09-16T16:48:07,488,20.49,68.882
2021-09-16T16:49:16,456,20.49,68.882
2021-09-16T18:51:15,448,20.49,68.882
2021-09-16T18:57:33,416,20.49,68.882
2021-09-16T18:58:34,456,20.49,68.882
2021-09-16T19:00:03,432,20.49,68.882
2021-09-16T19:09:49,480,20.49,68.882
2021-09-16T20:07:33,456,18.53,65.35400000000001
2021-09-16T20:42:08,520,18.53,65.35400000000001
2021-09-17T04:57:21,528,18.47,65.24600000000001
2021-09-17T04:58:24,552,18.47,65.24600000000001
2021-09-17T04:59:50,536,18.47,65.24600000000001
2021-09-17T05:18:08,592,18.47,65.24600000000001
2021-09-17T05:19:50,528,18.47,65.24600000000001
2021-09-17T05:20:59,488,18.47,65.24600000000001
2021-09-17T06:52:48,344,18.47,65.24600000000001
2021-09-17T07:57:44,352,18.47,65.24600000000001
2021-09-17T08:13:58,352,18.95,66.11
2021-09-17T08:42:34,352,18.95,66.11
2021-09-17T08:46:07,344,18.95,66.11
2021-09-17T09:54:33,352,18.95,66.11
2021-09-17T12:54:22,352,18.95,66.11
2021-09-17T13:12:12,352,18.95,66.11
2021-09-17T13:43:26,344,18.95,66.11
2021-09-17T13:58:47,344,18.95,66.11
2021-09-17T14:14:00,344,20.15,68.27
2021-09-17T14:15:55,336,20.15,68.27
2021-09-17T14:37:56,336,20.15,68.27
2021-09-17T15:01:40,336,20.15,68.27
2021-09-17T16:11:13,336,20.15,68.27
2021-09-17T16:12:55,328,20.15,68.27
2021-09-17T16:13:58,328,20.15,68.27
2021-09-17T16:15:57,320,20.15,68.27
2021-09-17T16:17:00,320,20.15,68.27
2021-09-17T16:55:05,328,20.15,68.27
2021-09-17T19:23:28,344,20.15,68.27
2021-09-17T20:34:15,344,18.65,65.57
2021-09-18T07:34:24,368,18.38,65.084
2021-09-20T06:28:09,376,15.02,59.036
2021-09-20T06:36:00,376,15.02,59.036
